,date,co,no2,o3,so2,pm2_5,pm10,minTempC,maxTempC,avgTempC,windSpeed,windDirection,humidity,visibility,pressure,heatIndex,dewPoint,windChill,windGust
0,2023-03-12,4775.374954223633,122.60416634877522,173.51250034788004,81.02916669845581,475.11249923706055,549.737501780192,27,34,29,21,173,52,10,1011,31,18,29,22
1,2023-03-13,3661.637524922689,104.10416742165883,150.20000199973583,82.93750027815501,463.045836130778,520.3333320617676,27,33,29,24,246,60,10,1009,31,20,29,26
2,2023-03-14,1992.708346048991,65.33333333333333,90.6958321571971,67.73333350817363,229.10416825612387,287.2583351135254,26,31,28,23,218,66,10,1008,30,21,28,25
3,2023-03-15,1062.562505086263,35.049999833106995,121.92916663487752,40.404166301091514,154.48749923706055,185.57916641235352,26,30,27,19,288,70,10,1008,29,21,27,21
4,2023-03-16,1795.4315571032073,61.16842084181936,83.86842132242103,58.53684114155016,171.84210446006372,214.65789313065378,25,30,27,26,307,69,10,1009,29,20,27,28
5,2023-03-17,,,,,,,25,29,26,23,296,67,10,1010,27,19,26,24
6,2023-03-18,,,,,,,24,29,26,29,277,69,10,1010,28,20,26,31
7,2023-03-19,,,,,,,25,29,26,31,235,70,10,1009,28,20,26,33
8,2023-03-20,,,,,,,25,30,27,32,279,70,10,1010,29,21,27,33
9,2023-03-21,,,,,,,25,29,26,28,311,66,10,1010,28,19,26,30
10,2023-03-22,,,,,,,25,29,26,27,311,66,10,1010,28,19,26,28
11,2023-03-23,,,,,,,25,30,27,26,317,70,10,1011,29,21,27,27
12,2023-03-24,,,,,,,25,30,27,28,287,73,10,1011,29,21,27,30
13,2023-03-25,,,,,,,25,30,27,24,283,70,10,1010,30,21,27,26
