,date,co,no2,o3,so2,pm2_5,pm10,minTempC,maxTempC,avgTempC,windSpeed,windDirection,humidity,visibility,pressure,heatIndex,dewPoint,windChill,windGust
0,2023-03-12,813.6041603088379,12.979166775941849,120.91250006357829,15.620833456516266,107.83333365122478,153.68333339691162,27,36,30,21,174,40,10,1011,31,15,30,23
1,2023-03-13,2750.6833216349282,55.604166984558105,122.75416691352923,49.00833344459534,342.7916679382324,427.6458333333333,27,36,30,21,235,47,10,1009,31,17,30,23
2,2023-03-14,1905.9208526611328,39.399999578793846,77.31250094405065,27.795833210150402,240.90833377838135,320.05416615804035,27,34,29,21,227,54,10,1008,31,19,29,23
3,2023-03-15,1046.974998474121,28.56250015894572,80.69166678190231,24.725000003973644,144.80000019073486,198.71250025431314,26,30,28,17,274,59,10,1008,29,19,28,19
4,2023-03-16,699.3684146278783,14.284210568980166,102.05263188010768,18.547368476265355,84.74210558439556,132.91578875089945,25,31,27,24,291,61,10,1009,29,19,27,26
5,2023-03-17,,,,,,,25,30,26,21,292,61,10,1010,27,18,26,22
6,2023-03-18,,,,,,,24,31,27,26,278,66,10,1010,29,20,27,28
7,2023-03-19,,,,,,,24,31,27,28,279,66,10,1009,30,20,27,30
8,2023-03-20,,,,,,,25,31,27,30,278,66,10,1010,29,20,27,32
9,2023-03-21,,,,,,,25,31,27,28,265,62,10,1010,29,19,27,30
10,2023-03-22,,,,,,,25,31,27,26,308,61,10,1010,29,19,27,27
11,2023-03-23,,,,,,,25,31,27,23,314,66,10,1011,29,20,27,25
12,2023-03-24,,,,,,,25,32,28,25,286,68,10,1011,30,21,28,27
13,2023-03-25,,,,,,,25,32,28,23,285,64,10,1009,30,20,28,25
