,date_time,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
43,1606420800,5,847.82,0.0,30.5,81.54,51.5,94.17,108.45,13.81
44,1606424400,5,867.84,0.0,32.22,65.8,49.11,89.76,103.35,14.82
45,1606428000,5,907.9,0.0,34.96,53.64,48.64,90.2,104.28,15.58
46,1606431600,5,947.95,0.0,36.33,50.78,50.07,98.15,113.06,15.71
47,1606435200,5,1001.36,0.0,38.04,52.21,52.45,111.45,127.08,15.71
48,1606438800,5,1094.82,0.0,42.5,50.78,55.79,126.3,143.09,16.97
49,1606442400,5,1482.01,0.05,60.32,37.55,66.76,151.96,174.33,24.83
50,1606446000,5,1976.01,5.31,82.94,24.32,82.02,176.86,205.28,32.93
51,1606449600,5,2136.23,17.21,87.05,33.98,88.69,186.87,217.15,33.44
52,1606453200,5,2296.45,20.34,90.48,57.22,90.6,210.65,244.22,34.45
53,1606456800,5,2269.75,14.08,87.74,107.29,91.55,239.72,274.7,32.93
54,1606460400,5,2216.34,8.94,82.25,170.23,92.51,271.48,306.51,30.15
55,1606464000,5,2136.23,7.38,78.83,194.55,90.6,269.6,304.18,26.85
56,1606467600,5,1895.9,6.65,72.66,178.81,82.02,227.05,262.08,23.81
57,1606471200,5,1668.93,5.98,67.17,144.48,69.62,181.62,221.02,22.04
58,1606474800,5,1762.39,5.59,76.77,107.29,61.99,166.76,208.68,24.07
59,1606478400,5,1789.09,2.65,90.48,69.38,54.36,157.9,200.42,23.56
60,1606482000,5,1708.98,0.05,93.22,42.56,54.84,140.22,178.43,23.31
61,1606485600,5,1895.9,0.07,95.96,21.1,66.76,129.41,163.82,29.39
62,1606489200,5,1735.69,0.01,71.29,32.9,73.43,118.86,146.56,29.13
63,1606492800,5,1108.17,0.0,45.93,60.8,67.71,99.26,116.99,17.99
64,1606496400,5,1054.76,0.0,42.5,69.38,64.85,105.48,122.66,17.23
65,1606500000,5,1028.06,0.0,41.81,72.96,63.9,108.22,124.65,16.09
66,1606503600,5,881.2,0.0,38.39,77.25,59.13,103.53,116.65,11.91
67,1606507200,5,747.68,0.0,31.53,81.54,51.98,100.8,110.92,8.74
68,1606510800,5,694.28,0.0,26.05,83.69,45.78,103.71,112.65,7.79
69,1606514400,5,707.63,0.0,24.68,83.69,46.73,112.85,122.4,8.49
70,1606518000,5,727.65,0.0,24.68,82.97,50.55,124.48,134.85,9.25
71,1606521600,5,747.68,0.0,25.36,79.39,52.93,132.55,143.16,9.88
72,1606525200,5,774.38,0.0,27.42,72.24,54.36,132.66,143.48,10.77
73,1606528800,5,947.95,0.02,36.67,57.94,60.08,131.78,144.91,14.44
74,1606532400,5,1108.17,2.4,47.3,43.99,68.67,125.66,141.1,17.48
75,1606536000,5,1014.71,7.82,45.24,45.78,72.48,106.08,119.72,15.71
76,1606539600,5,921.25,9.5,42.16,56.51,71.53,95.92,107.91,14.31
77,1606543200,5,854.49,8.05,39.76,77.25,70.57,93.5,104.08,13.3
78,1606546800,5,1468.66,9.95,56.21,92.98,74.39,132.6,152.08,23.56
79,1606550400,5,2029.42,9.84,72.66,118.73,75.34,170.31,198.78,29.89
80,1606554000,5,2029.42,8.27,75.4,133.04,72.48,166.74,198.98,29.64
81,1606557600,5,1869.2,6.54,72.66,120.16,67.71,144.22,177.42,28.37
82,1606561200,5,1895.9,5.36,82.25,82.97,69.62,134.29,170.85,29.39
83,1606564800,5,2056.12,2.93,102.82,36.84,72.48,136.88,177.27,30.91
84,1606568400,5,2056.12,1.44,106.93,10.46,68.67,135.87,174.46,29.64
85,1606572000,5,2403.26,6.2,108.3,1.34,71.53,147.52,188.55,33.44
86,1606575600,5,2536.77,6.04,102.82,1.15,71.53,148.01,183.14,35.47
87,1606579200,5,1548.77,0.15,57.58,24.68,51.02,94.72,110.87,22.04
88,1606582800,5,1081.47,0.0,30.85,50.07,36.72,76.09,87.36,16.21
89,1606586400,5,921.25,0.0,24.33,60.8,29.33,74.98,85.21,13.68
90,1606590000,5,767.71,0.0,20.74,65.09,23.37,72.15,80.55,10.13
91,1606593600,5,720.98,0.0,19.54,64.37,21.22,70.16,77.81,8.87
92,1606597200,5,734.33,0.0,19.02,61.51,21.22,69.47,77.35,9.12
93,1606600800,5,907.9,0.0,22.62,50.78,25.75,78.31,88.83,11.65
94,1606604400,5,1161.58,0.0,29.82,35.76,32.42,92.86,106.76,14.44
95,1606608000,5,1375.2,0.02,38.04,22.89,38.15,105.84,122.38,16.21
96,1606611600,5,1562.12,0.37,47.98,11.09,43.39,116.71,135.72,18.49
97,1606615200,5,1922.61,7.15,57.58,1.43,51.02,136.02,159.87,25.84
98,1606618800,5,2216.34,21.23,61.01,7.69,55.31,148.95,176.54,31.16
99,1606622400,5,1815.8,15.42,55.52,36.48,50.07,121.99,142.5,26.6
100,1606626000,5,1976.01,11.62,54.15,72.24,56.74,133.46,153.54,30.4
101,1606629600,5,2216.34,7.26,54.15,134.47,65.8,166.09,187.18,32.93
102,1606633200,5,2429.96,4.69,57.58,226.02,74.39,232.71,256.18,33.95
103,1606636800,5,2563.48,3.35,61.01,326.16,77.25,327.87,355.26,29.39
104,1606640400,5,2216.34,2.35,55.52,383.38,68.67,359.07,389.64,19.51
105,1606644000,5,1468.66,1.47,39.76,349.05,48.64,262.77,293.89,10.89
106,1606647600,5,1134.87,0.85,31.87,288.96,34.33,174.79,208.44,9.12
107,1606651200,5,1054.76,0.26,32.56,237.47,26.7,133.34,167.02,9.12
108,1606654800,5,1134.87,0.0,35.3,194.55,25.51,122.98,155.81,10.13
109,1606658400,5,1255.04,0.0,37.01,167.37,28.13,125.65,162.19,12.16
110,1606662000,5,1321.79,0.0,35.99,154.5,31.47,131.54,173.5,12.92
111,1606665600,5,1535.42,0.0,40.1,150.2,41.01,156.19,199.8,15.33
112,1606669200,5,1976.01,0.0,51.41,130.18,53.41,198.12,243.97,21.03
113,1606672800,5,2216.34,0.0,58.95,98.71,57.22,212.36,257.7,24.07
114,1606676400,5,2002.72,0.0,56.89,76.53,51.98,189.7,228.99,21.03
115,1606680000,5,1735.69,0.0,52.78,63.66,50.07,166.62,199.41,18.24
116,1606683600,5,1602.17,0.0,50.72,57.22,54.36,158.46,187.06,17.23
117,1606687200,5,1655.58,0.0,51.41,48.64,59.13,168.0,196.63,17.73
118,1606690800,5,1842.5,0.0,55.52,37.19,61.99,188.29,220.22,19.51
119,1606694400,5,2002.72,0.01,59.63,27.18,65.8,205.94,240.22,20.77
120,1606698000,5,2189.64,0.27,67.86,13.95,70.57,224.34,260.45,23.31
121,1606701600,5,2857.21,11.51,82.25,0.93,85.83,268.04,312.55,34.45
122,1606705200,5,3685.0,37.55,91.85,5.14,105.86,315.52,369.41,46.61
123,1606708800,5,3738.4,45.6,104.19,21.46,120.16,309.52,361.57,47.62
124,1606712400,5,4379.27,42.02,139.83,51.5,131.61,357.05,417.62,56.74
125,1606716000,5,5073.55,25.03,178.22,133.04,144.96,464.46,535.53,60.8
126,1606719600,5,5447.39,12.74,186.44,277.52,154.5,646.74,730.21,53.2
127,1606723200,5,4753.11,6.54,149.43,406.27,144.96,776.31,868.18,34.45
128,1606726800,5,3417.97,3.52,97.33,417.71,117.3,680.22,772.73,20.77
129,1606730400,5,1976.01,1.96,56.21,323.3,77.25,404.14,480.66,12.29
130,1606734000,5,1361.85,1.33,45.24,208.86,51.02,235.78,291.9,10.64
131,1606737600,5,1201.63,0.45,46.61,135.9,39.1,173.13,217.16,10.77
132,1606741200,5,1201.63,0.01,46.61,107.29,36.72,155.53,194.77,11.65
133,1606744800,5,1361.85,0.0,50.04,90.12,38.62,163.01,206.76,15.71
134,1606748400,5,1508.71,0.0,51.41,80.11,41.49,169.59,218.81,19.51
135,1606752000,5,1895.9,0.0,61.69,64.37,52.93,184.94,238.3,26.35
136,1606755600,5,2403.26,0.0,76.77,45.42,65.8,207.08,264.61,34.45
137,1606759200,5,2696.99,0.0,85.0,33.62,71.53,213.78,271.75,38.0
138,1606762800,5,2536.77,0.0,82.94,29.68,67.71,195.49,247.9,32.93
139,1606766400,5,2269.75,0.0,76.77,28.25,61.99,175.34,220.8,27.36
140,1606770000,5,2082.82,0.0,69.92,27.18,61.04,166.14,206.51,24.32
141,1606773600,5,1949.31,0.0,64.43,25.39,61.04,163.22,200.38,22.8
142,1606777200,5,1922.61,0.01,62.38,21.46,60.56,168.93,205.67,22.04
143,1606780800,5,1895.9,0.09,61.69,15.56,59.61,176.64,214.32,21.28
144,1606784400,5,2056.12,1.05,66.49,6.62,64.85,192.74,232.25,22.55
145,1606788000,5,2777.1,13.52,78.14,0.36,83.92,239.7,286.21,32.93
146,1606791600,5,3685.0,41.57,85.0,3.62,104.9,288.57,342.13,44.58
147,1606795200,5,4112.24,58.12,94.59,13.77,104.9,300.79,356.7,50.16
148,1606798800,5,4379.27,49.62,123.38,36.48,100.14,314.96,375.58,54.72
149,1606802400,5,4539.49,28.16,149.43,95.84,102.04,350.8,414.32,55.73
150,1606806000,5,5340.58,14.98,174.11,217.44,116.35,504.05,579.0,58.77
151,1606809600,5,6782.53,8.49,197.41,417.71,131.61,850.25,946.09,57.25
152,1606813200,5,6942.75,4.64,180.96,583.65,125.89,1146.08,1258.86,41.54
153,1606816800,5,4966.74,2.1,120.64,589.37,97.28,1034.56,1150.67,23.05
154,1606820400,5,3097.53,0.85,76.77,474.93,77.25,671.76,776.28,15.45
155,1606824000,5,2002.72,0.23,60.32,303.27,61.04,388.68,465.38,11.65
156,1606827600,5,1148.22,0.0,31.19,203.13,45.78,207.9,247.55,7.16
157,1606831200,5,1054.76,0.0,31.19,128.75,31.47,133.39,167.98,10.51
158,1606834800,5,1041.41,0.0,31.19,100.14,29.56,109.12,145.23,12.41
159,1606838400,5,1268.39,0.0,39.41,91.55,38.15,125.51,164.34,16.47
160,1606842000,5,1789.09,0.0,55.52,73.67,51.02,166.07,212.37,24.07
161,1606845600,5,2243.04,0.0,71.97,50.78,61.04,195.14,246.13,29.39
162,1606849200,5,2670.29,0.03,91.85,26.82,62.94,218.67,273.96,29.39
163,1606852800,5,3177.64,1.16,111.04,6.8,62.94,250.94,311.0,29.89
164,1606856400,5,3685.0,6.37,116.53,0.49,67.71,284.93,347.39,31.67
165,1606860000,5,3952.03,10.39,113.79,0.11,73.43,312.07,375.52,32.93
166,1606863600,5,4165.65,14.75,112.41,0.03,80.11,336.58,400.07,33.95
167,1606867200,5,4325.87,20.34,109.67,0.01,84.88,351.34,413.89,33.95
168,1606870800,5,3578.19,15.65,100.08,0.05,83.92,304.51,352.5,28.12
169,1606874400,5,3391.27,24.36,90.48,0.07,81.06,282.25,327.78,32.93
170,1606878000,5,3364.56,40.68,82.25,3.58,77.25,261.5,308.37,36.99
171,1606881600,5,3738.4,56.77,90.48,16.63,80.11,265.88,317.39,44.58
172,1606885200,5,4486.08,51.86,126.12,39.7,96.32,316.67,375.23,57.25
173,1606888800,5,4913.33,29.06,157.65,105.86,110.63,387.88,450.27,64.85
174,1606892400,5,5767.82,14.31,183.7,234.6,129.7,563.8,636.67,68.9
175,1606896000,5,6248.47,8.94,191.93,377.66,146.87,800.26,889.18,55.73
176,1606899600,5,4699.71,5.31,143.95,411.99,125.89,765.32,862.43,31.16
177,1606903200,5,2243.04,2.32,64.43,314.71,64.85,405.16,485.32,15.45
178,1606906800,5,1228.33,1.62,40.78,174.52,32.9,191.22,241.68,12.54
179,1606910400,5,974.66,0.62,40.1,115.87,25.03,144.08,180.32,10.26
180,1606914000,5,867.84,0.01,35.3,108.72,26.23,131.21,162.26,8.36
181,1606917600,5,934.6,0.0,33.93,111.58,33.38,139.69,172.34,9.5
182,1606921200,5,1001.36,0.0,32.56,110.15,45.3,155.99,190.9,9.12
183,1606924800,5,1535.42,0.0,50.72,81.54,61.99,196.56,241.49,16.21
184,1606928400,5,2590.18,0.0,86.37,41.13,77.25,261.97,327.0,30.65
185,1606932000,5,3738.4,1.76,124.75,9.03,93.46,334.04,414.88,43.06
186,1606935600,5,4432.68,7.38,142.57,0.49,102.04,381.77,466.42,44.08
187,1606939200,5,4486.08,10.28,139.83,0.13,98.23,391.3,467.66,36.48
188,1606942800,5,4005.43,10.84,124.75,0.09,83.92,356.99,420.31,26.85
189,1606946400,5,3231.05,8.94,106.93,0.19,70.57,303.34,352.16,20.27
190,1606950000,5,2643.59,7.26,91.85,0.23,61.04,261.51,302.34,17.48
191,1606953600,5,2189.64,6.09,76.08,0.4,52.45,222.62,258.25,16.47
192,1606957200,5,1789.09,4.53,62.38,1.11,45.3,181.49,211.92,16.72
193,1606960800,5,1762.39,7.6,58.26,0.85,48.16,164.1,193.17,22.8
194,1606964400,5,1869.2,15.42,58.26,7.51,53.88,156.02,184.71,27.87
195,1606968000,5,2029.42,22.58,62.38,25.03,61.04,155.64,184.82,32.17
196,1606971600,5,2563.48,30.85,78.14,38.98,78.2,186.29,221.61,41.54
197,1606975200,5,3017.43,28.16,100.08,67.95,97.28,228.66,269.69,49.14
198,1606978800,5,3471.37,19.22,123.38,130.18,119.21,302.95,348.41,53.7
199,1606982400,5,3898.62,12.07,139.83,234.6,133.51,431.35,482.9,51.17
200,1606986000,5,3524.78,7.15,127.49,331.88,120.16,520.37,575.47,35.97
201,1606989600,5,2189.64,3.41,76.08,349.05,81.06,410.87,460.88,16.97
202,1606993200,5,1428.6,1.33,43.87,329.02,57.22,282.35,331.57,10.13
203,1606996800,5,1255.04,0.33,36.67,311.85,50.07,252.13,299.47,8.61
204,1607000400,5,1295.09,0.01,31.87,288.96,48.64,262.0,307.51,8.23
205,1607004000,5,1255.04,0.0,33.93,214.58,43.87,222.27,267.12,11.02
206,1607007600,5,1201.63,0.0,38.39,133.04,41.01,164.25,207.19,15.07
207,1607011200,5,1375.2,0.0,47.98,95.84,52.45,153.01,193.28,18.75
208,1607014800,5,1895.9,0.0,67.17,76.53,70.57,183.8,226.76,25.33
209,1607018400,5,2323.15,0.0,84.31,64.37,91.55,215.38,257.92,28.88
210,1607022000,5,2376.56,0.0,89.11,55.79,103.95,222.79,261.27,26.6
211,1607025600,5,2323.15,0.0,87.74,47.92,102.04,222.02,256.89,22.55
212,1607029200,5,2216.34,0.0,83.63,43.99,93.46,216.99,248.63,19.25
213,1607032800,5,2162.93,0.0,79.51,41.13,87.74,219.2,248.55,18.49
214,1607036400,5,2056.12,0.0,71.97,41.13,79.16,220.47,247.68,16.72
215,1607040000,5,1922.61,0.0,63.06,42.56,67.71,221.07,246.33,13.81
216,1607043600,5,1922.61,0.01,62.38,32.54,56.74,222.51,248.61,14.44
217,1607047200,5,2563.48,5.64,81.57,5.28,63.9,249.87,286.45,27.11
218,1607050800,5,3631.59,43.36,86.37,3.13,83.92,294.66,345.31,45.6
219,1607054400,5,4165.65,67.95,94.59,11.27,97.28,305.17,361.48,58.26
220,1607058000,5,3952.03,54.54,109.67,28.61,97.28,280.89,333.99,60.29
221,1607061600,5,3578.19,34.87,119.27,60.8,96.32,261.56,309.57,55.73
222,1607065200,5,3391.27,20.12,124.75,118.73,103.95,283.89,328.34,50.16
223,1607068800,5,3791.81,12.63,138.46,208.86,121.12,389.2,437.29,49.14
224,1607072400,5,4112.24,8.49,149.43,303.27,129.7,529.33,586.26,44.08
225,1607076000,5,3231.05,4.81,122.01,349.05,108.72,534.73,593.84,25.59
226,1607079600,5,2323.15,1.82,80.88,357.63,82.02,450.79,512.7,14.19
227,1607083200,5,2002.72,0.3,57.58,371.93,66.76,419.29,483.98,10.39
228,1607086800,5,1976.01,0.07,46.61,363.35,65.8,421.34,483.48,8.36
229,1607090400,5,1949.31,0.0,43.18,300.41,65.8,411.85,477.6,9.12
230,1607094000,5,1815.8,0.0,45.93,217.44,59.61,341.25,411.34,13.68
231,1607097600,5,1895.9,0.0,58.26,133.04,61.99,258.83,321.16,20.52
232,1607101200,5,2510.07,0.0,80.2,77.96,73.43,258.37,321.43,31.67
233,1607104800,5,3177.64,0.0,100.08,47.92,82.97,291.18,357.04,39.52
234,1607108400,5,3311.16,0.0,106.93,35.76,82.02,301.33,365.4,36.48
235,1607112000,5,3070.83,0.0,98.71,31.11,71.53,286.8,343.93,28.63
236,1607115600,5,2696.99,0.0,85.0,28.25,58.65,259.94,308.66,21.53
237,1607119200,5,2323.15,0.01,72.66,24.32,51.98,232.34,272.68,18.49
238,1607122800,5,2082.82,0.05,64.43,18.06,49.11,213.59,247.9,16.97
239,1607126400,5,1922.61,0.19,58.95,13.05,45.78,200.58,231.16,16.09
240,1607130000,5,1735.69,0.5,54.84,9.57,42.44,184.04,212.26,16.97
241,1607133600,5,1869.2,4.14,58.95,2.91,47.68,178.91,208.53,23.81
242,1607137200,5,2269.75,19.67,61.69,4.11,58.65,187.97,221.37,31.92
243,1607140800,5,2590.18,32.63,67.86,15.2,66.76,195.11,231.35,37.49
244,1607144400,5,2803.8,31.74,80.88,34.69,72.48,204.81,243.91,43.06
245,1607148000,5,2857.21,22.13,93.22,72.24,77.25,219.73,258.91,45.09
246,1607151600,5,2883.91,13.19,98.71,141.62,86.78,260.68,299.12,44.08
247,1607155200,5,3070.83,8.05,102.82,231.74,97.28,346.96,388.62,40.03
248,1607158800,5,3097.53,4.92,98.71,320.44,101.09,442.11,488.35,31.92
249,1607162400,5,2590.18,2.54,78.83,371.93,90.6,475.56,525.8,19.76
250,1607166000,5,2109.53,0.96,58.26,383.38,76.29,448.71,504.95,13.05
251,1607169600,5,1789.09,0.16,44.55,366.21,66.76,388.45,445.45,10.26
252,1607173200,5,1575.47,0.0,39.07,300.41,63.9,310.12,363.11,9.75
253,1607176800,5,1441.96,0.0,42.84,211.72,59.13,237.59,290.09,12.16
254,1607180400,5,1375.2,0.0,45.93,133.04,51.02,170.96,222.21,16.21
255,1607184000,5,1575.47,0.0,53.47,84.4,52.93,147.95,192.87,22.55
256,1607187600,5,2029.42,0.0,63.75,58.65,60.56,164.94,209.3,30.65
257,1607191200,5,2189.64,0.0,67.17,46.49,61.04,173.15,217.02,32.42
258,1607194800,5,1922.61,0.0,61.01,41.49,51.02,154.51,190.94,26.09
259,1607198400,5,1562.12,0.0,52.09,36.48,40.05,138.78,166.15,18.75
260,1607202000,5,1388.55,0.0,46.61,29.68,33.85,139.98,162.24,15.83
261,1607205600,5,1321.79,0.01,43.53,25.39,32.42,148.34,169.48,15.58
262,1607209200,5,1295.09,0.01,41.81,22.35,32.9,155.13,176.53,16.09
263,1607212800,5,1255.04,0.02,40.1,21.46,33.38,154.15,174.59,16.21
264,1607216400,5,1268.39,0.1,41.81,17.7,34.33,150.89,170.6,17.73
265,1607220000,5,1668.93,3.55,54.15,7.15,44.35,163.93,188.31,27.11
266,1607223600,5,2323.15,24.36,59.63,12.34,58.17,188.69,220.61,39.01
267,1607227200,5,2563.48,33.98,67.86,25.39,62.94,189.18,223.47,43.06
268,1607230800,5,2403.26,26.82,73.34,45.78,60.56,171.19,204.09,39.52
269,1607234400,5,2082.82,16.76,71.97,80.82,58.65,155.26,185.6,32.93
270,1607238000,5,2323.15,10.84,78.83,138.76,71.53,195.72,229.18,34.96
271,1607241600,5,2910.61,7.94,90.48,214.58,88.69,280.99,322.99,40.53
272,1607245200,5,3177.64,5.92,97.33,277.52,99.18,351.05,402.47,40.53
273,1607248800,5,3097.53,4.02,94.59,308.99,105.86,382.26,441.09,35.97
274,1607252400,5,2883.91,2.29,91.85,300.41,100.14,382.51,451.5,29.89
275,1607256000,5,2456.67,0.58,89.11,240.33,76.29,318.86,393.42,25.08
276,1607259600,5,1949.31,0.01,75.4,155.93,55.31,225.52,295.47,21.53
277,1607263200,5,1762.39,0.0,70.6,92.98,44.82,164.63,227.95,23.05
278,1607266800,5,1602.17,0.0,57.58,72.24,39.1,136.13,189.5,23.31
279,1607270400,5,1415.25,0.0,45.24,86.55,41.49,129.57,169.29,21.28
280,1607274000,5,1762.39,0.0,52.78,82.97,53.41,156.82,196.52,26.09
281,1607277600,5,1976.01,0.0,56.21,70.1,56.74,168.33,208.93,27.87
282,1607281200,5,1895.9,0.0,57.58,51.5,49.59,159.84,196.72,24.07
283,1607284800,5,1922.61,0.01,67.17,27.18,44.82,159.96,193.16,21.79
284,1607288400,5,1895.9,0.15,69.23,12.88,39.1,161.73,191.53,21.28
285,1607292000,5,1562.12,0.05,53.47,20.03,31.95,144.59,168.67,18.75
286,1607295600,5,1214.98,0.0,37.7,35.05,31.95,122.36,141.31,16.72
287,1607299200,5,1028.06,0.0,31.53,40.41,32.9,108.47,124.33,15.83
288,1607302800,5,1001.36,0.0,32.22,38.98,34.81,102.53,117.63,16.72
289,1607306400,5,1295.09,0.05,45.24,29.33,42.44,114.19,133.23,23.56
290,1607310000,5,1602.17,4.86,59.63,24.32,50.07,126.97,149.98,28.88
291,1607313600,5,1642.23,12.96,60.32,42.2,51.5,126.07,149.55,28.63
292,1607317200,5,1735.69,15.42,62.38,60.8,58.65,133.17,158.56,30.15
293,1607320800,5,1789.09,12.29,63.06,94.41,66.76,147.99,175.04,30.91
294,1607324400,5,2456.67,10.39,78.83,144.48,85.83,216.55,251.39,40.03
295,1607328000,5,3231.05,8.05,91.85,211.72,101.09,311.78,353.64,45.6
296,1607331600,5,3685.0,6.82,108.3,257.49,112.53,381.06,429.92,46.1
297,1607335200,5,3845.22,6.31,130.24,257.49,125.89,408.48,467.15,42.56
298,1607338800,5,3631.59,5.25,149.43,205.99,133.51,371.85,439.75,40.03
299,1607342400,5,3097.53,1.82,149.43,140.19,104.9,296.43,375.43,34.96
300,1607346000,5,2429.96,0.03,113.79,90.84,67.71,215.92,297.68,29.89
301,1607349600,5,2189.64,0.0,91.85,60.8,52.45,175.34,247.75,31.67
302,1607353200,5,2002.72,0.0,70.6,69.38,49.11,172.16,234.31,30.91
303,1607356800,5,2056.12,0.0,65.8,77.96,56.27,189.56,243.73,31.92
304,1607360400,5,3417.97,0.01,108.3,37.55,84.88,270.19,337.88,50.16
305,1607364000,5,4379.27,3.97,142.57,4.6,92.51,331.65,407.82,55.22
306,1607367600,5,3685.0,11.62,128.87,0.06,62.94,282.99,341.59,36.99
307,1607371200,5,2536.77,10.84,98.71,0.09,42.44,209.14,248.68,24.32
308,1607374800,5,1949.31,6.48,76.77,0.62,38.62,170.96,201.35,21.28
309,1607378400,5,1762.39,2.43,66.49,3.17,41.01,158.05,185.58,22.04
310,1607382000,5,1668.93,0.43,58.26,10.46,42.92,147.23,171.92,22.04
311,1607385600,5,1548.77,0.1,51.41,17.17,42.92,134.51,156.63,21.28
312,1607389200,5,1522.06,0.12,52.09,18.06,44.35,129.96,151.13,22.29
313,1607392800,5,2002.72,3.74,69.92,7.24,57.7,157.5,185.68,33.44
314,1607396400,5,2563.48,21.91,80.88,16.63,73.43,191.72,227.39,42.05
315,1607400000,5,2723.69,26.82,94.59,26.11,79.16,205.34,242.43,42.56
316,1607403600,5,2964.02,29.95,101.45,44.7,84.88,228.16,269.49,45.6
317,1607407200,5,2964.02,21.01,104.19,84.4,88.69,246.5,288.82,44.58
318,1607410800,5,3471.37,14.08,116.53,151.63,104.9,322.73,370.37,50.16
319,1607414400,5,4913.33,10.95,154.91,263.21,131.61,528.24,593.03,61.3
320,1607418000,5,5607.61,7.94,180.96,383.38,137.33,750.33,832.26,55.73
321,1607421600,5,4112.24,4.75,149.43,400.54,106.81,707.05,794.41,33.44
322,1607425200,5,3070.83,1.93,104.19,377.66,82.97,581.97,676.44,23.31
323,1607428800,5,2563.48,0.37,82.25,334.74,68.67,490.92,586.25,19.25
324,1607432400,5,2082.82,0.01,62.38,263.21,62.94,385.89,467.42,14.82
325,1607436000,5,1842.5,0.0,60.32,178.81,56.27,291.56,367.5,17.73
326,1607439600,5,1682.28,0.0,56.89,120.16,49.11,217.76,287.79,21.28
327,1607443200,5,1735.69,0.0,56.89,86.55,51.02,189.21,245.47,25.33
328,1607446800,5,2403.26,0.0,76.08,59.37,65.8,224.09,282.11,37.49
329,1607450400,5,2910.61,0.0,90.48,43.99,76.29,253.9,313.72,43.57
330,1607454000,5,2750.4,0.0,89.11,36.84,69.62,242.39,296.63,36.99
331,1607457600,5,2456.67,0.0,82.25,32.19,61.04,222.38,269.19,29.89
