,date_time,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
0,1606266000,5,2162.93,0.0,58.95,72.96,95.37,346.73,385.34,9.37
1,1606269600,5,2403.26,0.02,78.83,58.65,123.98,371.86,412.33,12.29
2,1606273200,5,2883.91,3.21,111.04,41.84,158.31,421.5,468.55,17.48
3,1606276800,5,3738.4,15.87,138.46,47.21,188.83,503.57,561.9,28.63
4,1606280400,5,4913.33,22.35,178.22,70.81,221.25,622.25,698.88,47.62
5,1606284000,5,5714.42,18.33,216.6,118.73,263.21,737.21,827.99,62.32
6,1606287600,5,5554.2,13.52,219.35,178.81,267.03,774.3,869.88,58.26
7,1606291200,5,4058.84,9.39,164.51,226.02,205.99,658.46,743.73,33.95
8,1606294800,5,2536.77,5.59,100.08,231.74,133.51,470.56,539.79,15.83
9,1606298400,5,1455.31,2.35,52.09,214.58,78.2,292.96,348.44,6.9
10,1606302000,5,1054.76,0.78,34.96,191.69,53.88,213.94,261.01,4.62
11,1606305600,5,988.01,0.12,30.16,170.23,48.64,198.28,236.25,3.2
12,1606309200,5,1081.47,0.0,31.53,155.93,52.93,209.96,243.05,3.17
13,1606312800,5,1295.09,0.0,39.07,135.9,56.27,225.23,263.31,5.7
14,1606316400,5,1522.06,0.0,45.93,115.87,58.65,235.2,279.94,10.13
15,1606320000,5,2162.93,0.0,67.17,85.12,70.57,271.88,326.27,22.29
16,1606323600,5,3124.24,0.0,94.59,51.5,87.74,327.42,394.34,38.0
17,1606327200,5,3738.4,0.01,111.04,29.33,95.37,358.9,432.31,46.1
18,1606330800,5,3471.37,0.03,108.3,20.21,84.88,338.14,405.05,39.52
19,1606334400,5,2803.8,0.01,87.74,23.6,69.62,290.98,343.44,28.37
20,1606338000,5,2109.53,0.0,64.43,33.98,60.56,244.37,281.89,21.03
21,1606341600,5,1508.71,0.0,45.24,47.92,57.7,193.63,217.35,16.47
22,1606345200,5,1361.85,0.0,40.44,46.49,56.27,172.21,192.19,16.09
23,1606348800,5,1348.5,0.0,42.16,37.19,56.74,161.8,181.3,16.09
24,1606352400,5,1441.96,0.07,51.41,20.92,61.04,156.78,178.59,17.73
25,1606356000,5,1815.8,4.25,69.92,3.62,78.2,166.37,194.71,26.09
26,1606359600,5,2349.85,23.69,80.2,5.72,106.81,186.48,221.62,36.48
27,1606363200,5,2750.4,39.34,94.59,18.95,141.14,205.55,243.98,43.57
28,1606366800,5,3124.24,39.79,117.9,40.77,169.75,242.78,287.3,49.65
29,1606370400,5,3391.27,29.5,139.83,83.69,190.74,294.86,346.43,52.18
30,1606374000,5,2937.32,16.09,127.49,151.63,179.29,310.25,364.64,40.53
31,1606377600,5,1789.09,7.71,77.46,188.83,121.12,229.31,275.24,22.29
32,1606381200,5,1094.82,3.63,40.78,185.97,62.94,149.17,183.62,14.06
33,1606384800,5,834.47,1.96,26.73,174.52,36.24,123.5,152.27,10.26
34,1606388400,5,894.55,1.08,27.42,188.83,36.24,150.88,179.96,8.11
35,1606392000,5,1028.06,0.29,35.3,194.55,46.73,183.84,214.12,6.52
36,1606395600,5,1228.33,0.01,47.98,167.37,61.99,202.92,234.3,6.97
37,1606399200,5,1361.85,0.0,53.47,143.05,73.43,205.51,237.67,9.5
38,1606402800,5,1361.85,0.0,49.35,133.04,82.02,197.24,228.41,11.53
39,1606406400,5,1348.5,0.0,45.93,117.3,93.46,180.86,207.88,13.3
40,1606410000,5,1361.85,0.0,44.55,97.28,97.28,161.24,186.21,16.97
41,1606413600,5,1188.28,0.0,39.41,90.84,79.16,131.49,153.67,17.73
42,1606417200,5,934.6,0.0,32.56,90.84,59.61,105.89,123.23,14.57
