Station,Missing columns
BandraKurlaComplexMumbaiIITM,"['Temp', 'VWS']"
BandraMumbaiMPCB,"['NH3', 'Eth-Benzene', 'MP-Xylene', 'Xylene', 'AT']"
BorivaliEastMumbaiIITM,"['SO2', 'Benzene', 'Toluene', 'Eth-Benzene', 'MP-Xylene', 'SR', 'Xylene', 'TOT-RF', 'Temp', 'VWS']"
BorivaliEastMumbaiMPCB,"['Xylene', 'RF', 'Temp', 'VWS']"
ChakalaAndheriEastMumbaiIITM,"['SR', 'VWS']"
ChhatrapatiShivajiIntlAirportT2MumbaiMPCB,"['Xylene', 'RF', 'Temp', 'VWS']"
ColabaMumbaiMPCB,"['Xylene', 'RF', 'Temp', 'VWS']"
DeonarMumbaiIITM,"['SR', 'Temp', 'VWS']"
KandivaliEastMumbaiMPCB,"['Xylene', 'Temp', 'VWS']"
KhindipadaBhandupWestMumbaiIITM,"['SR', 'Temp', 'VWS']"
KurlaMumbaiMPCB,"['Xylene', 'RF', 'Temp', 'VWS']"
MaladWestMumbaiIITM,"['SR', 'Xylene', 'Temp', 'VWS']"
MazgaonMumbaiIITM,"['SR', 'BP', 'AT', 'RF', 'Temp', 'VWS']"
MulundWestMumbaiMPCB,"['SR', 'Xylene', 'Temp', 'VWS']"
NavyNagarColabaMumbaiIITM,"['SR', 'Temp', 'VWS']"
PowaiMumbaiMPCB,"['SR', 'Xylene', 'RF', 'Temp', 'VWS']"
SiddharthNagarWorliMumbaiIITM,"['SO2', 'Benzene', 'Toluene', 'Eth-Benzene', 'MP-Xylene', 'SR', 'Xylene', 'TOT-RF', 'Temp', 'VWS']"
SionMumbaiMPCB,"['SR', 'Xylene', 'RF', 'Temp', 'VWS']"
VasaiWestMumbaiMPCB,"['SR', 'Xylene', 'RF', 'Temp', 'VWS']"
VileParleWestMumbaiMPCB,"['SR', 'Xylene', 'RF', 'Temp', 'VWS']"
WorliMumbaiMPCB,"['SR', 'Xylene', 'RF', 'Temp', 'VWS']"
