,Datetime,CO,NO,NO2,O3,SO2,PM2_5,PM10,NH3,AQI
35,1662098400,3738.4,74.21,227.57,67.23,297.55,526.92,567.35,6.52,5
36,1662102000,3337.86,30.4,205.64,165.94,244.14,563.59,609.24,2.63,5
37,1662105600,2643.59,10.17,124.75,263.21,150.68,527.28,578.62,2.56,5
38,1662109200,1922.61,3.8,63.75,300.41,86.78,407.89,458.8,4.5,5
39,1662112800,1268.39,2.04,38.39,251.77,47.68,245.85,285.45,5.64,5
40,1662116400,1001.36,1.51,34.96,197.41,34.33,172.86,199.25,4.69,5
41,1662120000,934.6,0.74,37.01,178.81,32.9,166.07,185.46,1.25,5
42,1662123600,894.55,0.11,38.04,165.94,38.62,168.25,183.58,0.0,5
43,1662127200,1094.82,0.0,46.61,134.47,49.59,176.77,194.3,0.47,5
44,1662130800,1415.25,0.0,60.32,103.0,66.76,201.82,224.1,3.96,5
45,1662134400,1842.5,0.0,76.77,71.53,97.27,243.11,268.28,4.81,5
46,1662138000,1949.31,0.0,84.31,60.08,123.98,269.47,292.91,3.13,5
47,1662141600,1789.09,0.0,69.92,74.39,119.21,276.37,295.14,1.36,5
48,1662145200,1495.36,0.0,39.41,114.44,83.92,274.95,289.42,0.0,5
49,1662148800,1228.33,0.0,17.82,163.08,59.13,261.32,272.72,0.0,5
50,1662152400,1054.76,0.0,9.94,200.27,43.87,237.65,246.09,0.0,5
51,1662156000,921.25,0.0,8.4,214.58,31.47,199.43,205.58,0.0,5
52,1662159600,821.11,0.0,9.08,197.41,25.03,164.8,169.98,0.0,5
53,1662163200,781.06,0.0,10.37,174.52,23.37,142.73,147.63,0.0,5
54,1662166800,774.38,0.0,12.34,153.06,24.56,128.75,133.69,0.0,5
55,1662170400,814.44,0.01,15.77,138.76,26.46,121.07,126.93,0.01,5
56,1662174000,827.79,0.26,19.19,135.9,26.23,110.34,117.23,0.95,5
57,1662177600,814.44,0.88,19.54,143.05,25.99,96.75,104.1,1.93,5
58,1662181200,774.38,1.17,17.14,164.51,25.51,87.37,95.18,2.56,5
59,1662184800,727.65,1.05,13.71,191.69,24.08,82.82,90.77,2.44,5
60,1662188400,654.22,0.72,10.28,208.85,19.79,78.39,86.21,1.41,5
61,1662192000,614.17,0.56,9.0,200.27,15.97,74.06,81.29,0.42,5
62,1662195600,580.79,0.48,9.0,185.97,14.19,71.21,77.83,0.01,5
63,1662199200,534.06,0.43,8.48,170.23,12.04,66.88,72.85,0.0,5
64,1662202800,494.0,0.45,8.91,150.2,11.32,62.08,67.72,0.0,5
65,1662206400,467.3,0.41,10.37,130.18,11.09,55.87,61.49,0.15,5
66,1662210000,614.17,0.2,20.91,100.14,13.23,56.02,64.79,3.93,5
67,1662213600,894.55,0.0,31.87,72.24,19.79,64.15,78.87,10.64,5
68,1662217200,1134.87,0.0,37.36,56.51,27.66,73.06,93.2,17.73,5
69,1662220800,1375.2,0.0,42.5,46.49,35.76,84.68,107.79,23.81,5
70,1662224400,1308.44,0.0,37.7,47.21,32.9,80.33,100.76,20.52,5
71,1662228000,894.55,0.0,25.36,57.22,22.41,57.12,70.08,10.89,5
72,1662231600,420.57,0.0,12.68,69.38,14.78,31.51,36.62,2.12,4
73,1662235200,357.15,0.0,10.02,67.95,13.11,26.12,29.88,1.2,4
74,1662238800,347.14,0.0,9.17,63.66,12.87,22.99,26.25,1.22,3
75,1662242400,330.45,0.0,8.65,56.51,12.52,19.01,21.78,1.25,2
76,1662246000,313.76,0.0,8.91,48.64,12.99,15.4,17.85,1.35,2
77,1662249600,307.08,0.0,9.94,41.13,14.19,13.16,15.49,1.49,2
78,1662253200,397.21,0.0,13.54,33.26,16.93,16.14,19.91,3.39,2
79,1662256800,741.0,0.39,25.7,16.09,23.6,30.46,40.04,10.13,4
80,1662260400,1094.82,8.27,32.56,2.46,30.28,44.79,60.0,16.72,4
81,1662264000,1361.85,20.12,29.13,2.21,36.72,56.91,76.13,22.55,5
82,1662267600,1495.36,23.47,28.79,3.13,41.01,64.8,87.25,24.83,5
83,1662271200,1415.25,20.79,30.16,5.23,40.05,61.95,85.31,22.8,5
84,1662274800,1094.82,12.96,29.47,6.35,31.95,44.87,63.76,16.09,4
85,1662278400,854.49,8.61,27.42,5.63,25.99,32.15,46.5,11.53,4
86,1662282000,660.9,5.48,24.68,5.99,22.89,22.96,33.72,8.23,3
87,1662285600,380.52,1.48,17.82,11.98,19.07,11.66,18.04,3.83,2
88,1662289200,340.46,0.7,15.77,14.48,16.21,9.88,16.0,3.07,1
89,1662292800,337.12,0.43,15.77,14.84,14.78,9.2,15.83,2.75,1
90,1662296400,357.15,0.37,16.79,13.59,15.02,9.61,17.46,3.07,1
91,1662300000,383.85,0.37,17.48,12.16,16.21,11.12,21.02,3.83,2
92,1662303600,393.87,0.32,16.79,12.16,16.69,12.32,24.45,4.24,2
93,1662307200,417.23,0.32,17.65,11.8,18.84,14.07,28.82,4.94,2
94,1662310800,410.56,0.24,16.96,12.87,18.36,14.46,31.11,4.94,2
95,1662314400,363.83,0.12,14.57,15.91,15.74,12.4,28.38,3.93,2
96,1662318000,287.06,0.04,10.8,20.56,11.8,8.86,22.22,2.12,2
97,1662321600,270.37,0.04,9.68,22.17,11.8,7.99,19.98,1.73,1
98,1662325200,260.35,0.03,9.08,21.99,11.68,8.0,19.84,1.54,1
99,1662328800,250.34,0.04,8.31,21.28,10.97,8.36,18.94,1.35,1
100,1662332400,260.35,0.06,8.74,19.13,11.68,9.12,19.03,1.5,1
101,1662336000,273.7,0.1,9.94,16.81,13.11,9.7,18.99,1.77,1
102,1662339600,307.08,0.2,12.68,13.95,16.21,10.64,19.06,2.41,2
103,1662343200,390.53,0.71,17.48,9.92,20.98,13.53,22.46,4.18,2
104,1662346800,447.27,2.71,20.56,7.78,25.51,15.78,26.1,5.32,2
105,1662350400,473.98,6.03,20.22,9.3,30.52,17.64,29.26,5.89,2
106,1662354000,467.3,7.82,17.48,14.48,32.42,19.0,32.1,5.95,2
107,1662357600,420.57,7.6,15.25,21.46,30.99,19.33,32.6,5.26,2
108,1662361200,353.81,5.64,13.02,29.33,26.23,18.09,29.63,4.05,2
109,1662364800,323.77,4.41,12.0,33.26,22.89,17.07,26.29,3.39,2
110,1662368400,317.1,3.97,11.82,33.97,21.7,16.46,24.52,3.1,2
111,1662372000,310.42,3.44,11.48,31.47,19.55,14.88,22.03,2.79,2
112,1662375600,340.46,3.24,14.39,24.32,20.98,14.72,21.57,3.2,2
113,1662379200,390.53,2.68,20.39,15.56,23.6,16.09,23.31,3.83,2
114,1662382800,727.65,8.16,32.56,2.66,28.85,29.57,43.38,9.12,4
115,1662386400,1228.33,19.67,33.93,0.04,35.29,53.62,79.38,17.48,5
116,1662390000,1495.36,21.9,31.87,0.02,40.05,70.49,105.35,23.05,5
117,1662393600,1735.69,23.25,31.87,0.01,45.78,85.18,123.99,27.11,5
118,1662397200,1789.09,21.68,31.53,0.02,46.73,89.04,126.96,27.36,5
119,1662400800,1468.66,15.42,30.5,0.1,40.53,72.42,102.76,21.79,5
120,1662404400,881.2,4.97,28.1,1.63,27.66,42.21,59.77,11.53,4
121,1662408000,587.46,0.82,24.33,7.15,23.13,28.86,40.1,6.97,4
122,1662411600,460.62,0.22,22.62,11.98,25.27,23.8,32.22,5.13,3
123,1662415200,377.18,0.14,22.62,14.66,28.13,20.44,27.32,3.86,3
124,1662418800,410.56,0.13,23.65,15.02,29.56,22.23,29.95,4.62,3
125,1662422400,480.65,0.22,27.08,12.7,33.38,26.27,35.34,6.08,4
126,1662426000,614.17,1.01,34.96,6.62,43.39,33.85,45.22,8.36,4
127,1662429600,841.14,7.82,40.78,2.39,57.7,45.88,61.37,12.03,4
128,1662433200,974.66,19.67,38.04,6.79,70.57,52.74,70.63,13.05,5
129,1662436800,1014.71,26.82,38.39,10.1,83.92,55.5,73.37,12.79,5
130,1662440400,1108.17,30.85,42.5,13.41,95.37,63.15,83.22,14.19,5
131,1662444000,1134.87,29.06,47.98,19.31,100.14,68.21,90.96,14.31,5
132,1662447600,934.6,18.78,46.61,30.4,84.88,60.28,84.97,11.27,5
133,1662451200,694.27,9.83,38.39,42.2,63.9,48.16,73.17,8.36,4
134,1662454800,560.76,6.37,30.85,46.49,50.54,38.77,61.64,6.9,4
135,1662458400,433.92,5.42,21.42,41.13,36.72,26.89,44.04,5.26,4
136,1662462000,390.53,5.36,18.34,31.83,30.52,20.77,34.6,4.69,3
137,1662465600,400.54,5.42,20.05,23.6,29.33,18.75,31.63,4.69,2
138,1662469200,507.35,4.69,28.45,11.35,31.95,21.47,35.99,6.4,3
139,1662472800,700.95,6.15,33.93,1.39,37.67,30.04,49.68,10.01,4
140,1662476400,881.2,10.17,30.85,0.31,41.48,39.47,64.98,13.68,4
141,1662480000,1108.17,15.42,31.19,0.05,52.45,52.61,83.72,17.99,5
142,1662483600,1268.39,19.89,32.9,0.01,61.99,63.59,98.46,20.01,5
143,1662487200,1268.39,21.01,33.59,0.01,64.85,65.93,101.61,18.24,5
144,1662490800,1615.52,29.06,34.62,0.0,65.8,86.16,130.67,21.28,5
145,1662494400,2189.64,41.13,35.99,0.0,70.57,122.13,182.1,29.13,5
146,1662498000,2376.56,43.81,36.33,0.0,73.43,138.47,204.6,33.44,5
147,1662501600,2243.04,37.55,36.33,0.0,74.39,130.55,188.18,31.92,5
148,1662505200,1869.2,27.49,35.99,0.0,68.66,107.98,148.99,25.59,5
149,1662508800,1428.6,20.12,34.96,0.01,62.94,82.58,108.89,17.23,5
150,1662512400,961.3,19.0,36.67,0.0,74.39,59.44,74.21,9.25,5
151,1662516000,1214.98,31.29,40.78,0.25,97.27,75.22,91.67,11.78,5
152,1662519600,1602.17,50.96,45.93,2.3,129.7,100.22,119.76,15.58,5
153,1662523200,1815.8,67.06,51.41,5.72,162.12,118.33,140.05,18.24,5
154,1662526800,1976.01,70.63,59.63,10.37,177.38,127.73,153.46,20.27,5
155,1662530400,1895.9,52.3,71.29,24.32,167.85,123.39,152.47,19.0,5
156,1662534000,1255.04,19.45,59.63,54.36,106.81,89.82,117.34,11.65,5
157,1662537600,741.0,7.26,36.67,60.8,61.04,50.94,74.32,7.03,5
158,1662541200,494.0,4.69,25.02,44.7,41.96,28.9,46.83,5.07,4
159,1662544800,380.52,3.46,18.68,31.11,29.09,18.05,32.6,3.93,2
160,1662548400,387.19,2.1,20.22,25.75,25.75,16.91,29.98,3.99,2
161,1662552000,427.25,0.76,25.02,24.68,26.23,19.36,34.09,4.56,2
162,1662555600,614.17,0.25,37.7,20.21,33.38,27.87,43.86,6.71,4
163,1662559200,1014.71,1.72,58.26,8.05,51.5,48.48,68.41,12.16,4
164,1662562800,1535.42,13.52,67.17,0.37,81.06,77.3,102.15,18.49,5
165,1662566400,1949.31,33.97,71.97,0.0,121.12,106.3,130.63,20.01,5
166,1662570000,1895.9,39.79,81.57,0.0,137.33,117.35,136.55,15.45,5
167,1662573600,1615.52,36.66,87.05,0.0,133.51,115.15,129.34,10.26,5
168,1662577200,1375.2,34.87,87.74,0.0,129.7,108.76,118.83,5.57,5
169,1662580800,1401.9,43.81,87.74,0.0,144.96,119.32,128.85,4.18,5
170,1662584400,1642.23,56.33,82.25,0.0,158.31,140.51,150.93,4.43,5
171,1662588000,1495.36,36.21,66.49,0.0,114.44,114.93,124.79,4.02,5
172,1662591600,1041.41,8.83,56.89,0.88,71.53,77.56,85.65,3.13,5
173,1662595200,801.09,0.27,49.35,16.27,63.9,72.04,79.27,1.96,5
174,1662598800,881.2,0.03,54.84,23.96,80.11,92.08,100.12,1.41,5
175,1662602400,1161.58,0.32,71.29,14.31,100.14,122.12,133.62,3.77,5
176,1662606000,1441.96,2.63,83.63,4.56,108.72,144.51,160.19,7.35,5
177,1662609600,1615.52,7.15,89.11,1.17,116.35,150.85,167.73,8.87,5
178,1662613200,1482.01,5.98,82.94,2.46,104.9,132.7,149.55,8.61,5
179,1662616800,1121.52,1.42,67.17,13.23,81.06,97.65,112.45,6.52,5
180,1662620400,794.41,0.21,49.35,35.05,59.13,66.46,78.43,4.37,5
181,1662624000,754.36,0.1,49.35,38.62,58.65,60.92,72.56,4.43,5
182,1662627600,854.49,0.11,58.95,27.89,70.57,68.99,81.4,5.51,5
183,1662631200,881.2,1.98,56.21,27.89,70.57,70.59,84.17,5.95,5
184,1662634800,907.9,1.9,56.21,29.33,66.76,68.67,83.08,6.78,5
185,1662638400,1001.36,1.87,64.43,24.68,70.57,72.0,87.1,8.23,5
186,1662642000,1228.33,1.59,81.57,10.55,87.74,82.41,97.98,10.51,5
187,1662645600,1308.44,3.58,85.68,2.77,102.04,89.14,105.11,10.77,5
188,1662649200,1201.63,5.98,79.51,0.74,104.9,88.26,103.94,9.12,5
189,1662652800,1321.79,12.18,87.74,0.04,123.98,103.66,118.08,8.11,5
190,1662656400,1682.28,20.34,104.19,0.0,144.96,133.13,146.16,8.23,5
191,1662660000,1842.5,18.78,109.67,0.01,125.89,149.06,158.94,5.38,5
192,1662663600,1668.93,11.18,102.82,0.04,87.74,154.72,161.85,0.65,5
193,1662667200,1508.71,7.93,90.48,0.05,73.43,156.26,162.59,0.0,5
194,1662670800,1375.2,6.65,75.4,0.08,69.62,147.59,153.73,0.0,5
195,1662674400,1161.58,4.08,61.01,0.5,60.08,127.13,132.74,0.0,5
196,1662678000,1028.06,3.3,51.41,0.66,55.79,109.89,115.11,0.0,5
197,1662681600,974.66,4.3,45.93,0.42,58.17,102.85,108.07,0.0,5
198,1662685200,961.3,5.98,41.81,0.21,58.65,99.75,105.43,0.02,5
199,1662688800,1028.06,9.16,39.41,0.23,59.6,102.57,109.85,2.28,5
200,1662692400,1148.22,12.29,40.44,1.29,62.94,108.19,116.94,4.43,5
201,1662696000,1241.68,10.51,45.24,3.8,66.76,113.91,123.38,5.51,5
202,1662699600,1241.68,5.25,46.61,10.1,62.94,107.36,116.92,7.16,5
203,1662703200,1108.17,2.4,42.5,29.33,56.27,91.96,100.85,7.79,5
204,1662706800,854.49,1.42,33.59,60.08,43.87,71.2,78.22,5.7,5
205,1662710400,674.25,0.68,26.39,76.53,34.81,53.54,59.02,3.77,5
206,1662714000,520.71,0.57,21.59,65.8,27.18,31.82,36.23,2.66,4
207,1662717600,377.18,0.37,15.59,46.49,18.36,14.43,17.75,1.87,2
208,1662721200,360.49,0.18,14.05,37.91,15.5,11.33,14.16,1.98,2
209,1662724800,400.54,0.04,15.77,40.41,15.97,14.64,17.52,2.09,2
210,1662728400,473.98,0.0,19.54,42.56,19.79,18.7,21.92,2.69,2
211,1662732000,540.73,0.0,22.96,41.48,25.27,21.99,25.71,3.7,3
212,1662735600,594.14,0.0,25.36,36.84,29.56,24.2,28.37,4.5,3
213,1662739200,607.49,0.02,25.36,27.89,29.33,24.15,28.57,5.0,3
214,1662742800,600.81,0.11,25.02,18.6,27.89,23.69,28.47,5.38,3
215,1662746400,587.46,0.25,25.7,13.23,28.85,23.4,28.14,5.13,3
216,1662750000,514.03,0.16,23.65,14.66,27.42,20.86,25.0,3.61,3
217,1662753600,433.92,0.02,17.31,23.6,21.93,17.85,21.35,2.18,2
218,1662757200,390.53,0.0,12.85,32.19,17.64,15.42,18.36,1.66,2
219,1662760800,363.83,0.0,11.14,35.76,15.26,12.61,14.87,1.47,2
220,1662764400,347.14,0.0,10.71,32.9,14.66,10.51,12.32,1.47,2
221,1662768000,337.12,0.01,10.71,28.97,14.66,9.58,11.28,1.54,1
222,1662771600,353.81,0.02,11.82,25.03,15.97,10.44,12.58,2.12,2
223,1662775200,447.27,0.42,15.94,18.42,20.74,14.46,18.07,4.12,2
224,1662778800,567.44,4.25,18.51,15.38,28.85,20.02,25.36,6.4,3
225,1662782400,674.25,8.83,19.54,19.67,38.15,26.09,32.74,8.04,4
226,1662786000,687.6,9.16,22.28,29.68,43.87,29.84,37.18,8.04,4
227,1662789600,587.46,7.15,22.62,49.35,41.96,29.88,37.42,6.21,4
228,1662793200,433.92,3.74,18.34,72.96,31.47,25.59,32.44,3.74,4
229,1662796800,380.52,1.96,15.59,82.97,25.75,22.4,28.27,2.88,3
230,1662800400,380.52,1.22,16.62,79.39,24.8,20.29,25.15,2.79,3
231,1662804000,353.81,0.91,15.77,67.23,22.65,16.06,20.18,2.44,2
232,1662807600,337.12,1.17,15.42,52.21,21.22,12.61,16.51,2.47,2
233,1662811200,337.12,1.36,17.14,38.62,21.22,10.82,14.81,2.69,2
234,1662814800,370.5,0.62,23.31,24.68,25.03,11.68,16.26,3.51,2
235,1662818400,453.95,0.43,31.53,12.34,33.38,15.69,21.87,5.07,2
236,1662822000,600.81,3.3,39.76,2.91,46.25,24.37,33.36,7.41,3
237,1662825600,867.84,11.85,49.35,0.06,69.62,40.8,52.15,10.13,4
238,1662829200,1041.41,19.0,55.52,0.01,86.78,55.4,67.94,10.89,5
239,1662832800,1041.41,21.9,54.15,0.0,88.69,59.42,71.61,9.88,5
240,1662836400,834.47,16.99,45.24,0.04,70.57,47.82,57.41,6.52,4
241,1662840000,567.44,8.38,34.27,0.36,47.68,31.08,38.16,3.8,4
242,1662843600,397.21,2.51,26.05,2.28,32.42,19.46,24.71,2.41,2
243,1662847200,303.75,0.45,18.51,7.87,22.65,12.35,16.34,1.77,2
244,1662850800,283.72,0.21,16.28,11.18,20.98,9.87,13.15,1.77,1
245,1662854400,297.07,0.3,18.51,10.19,24.32,10.01,13.09,2.03,2
246,1662858000,360.49,1.33,25.36,4.38,34.33,13.7,17.57,3.04,2
247,1662861600,540.73,8.38,32.56,0.3,51.98,24.53,31.27,6.14,3
248,1662865200,827.79,23.69,37.01,0.44,76.29,41.99,53.33,10.51,4
249,1662868800,1174.93,44.7,42.5,3.58,108.72,65.58,81.97,14.31,5
250,1662872400,1335.14,54.09,47.98,3.76,125.89,79.12,99.49,15.33,5
251,1662876000,1134.87,41.57,44.55,6.62,104.9,65.41,86.94,12.03,5
252,1662879600,700.95,15.87,38.04,7.33,62.94,37.29,54.71,7.22,4
253,1662883200,487.33,5.25,29.47,10.37,40.05,22.12,34.97,5.13,3
254,1662886800,423.91,2.57,25.36,13.77,31.95,16.49,26.6,4.62,2
255,1662890400,380.52,1.55,20.73,20.92,25.03,12.33,20.07,3.74,2
256,1662894000,420.57,1.09,21.08,30.04,24.08,12.83,19.14,3.55,2
257,1662897600,527.38,0.48,25.7,41.84,26.23,20.51,26.45,3.7,3
258,1662901200,700.95,0.07,33.59,49.35,31.47,33.21,39.89,4.56,4
259,1662904800,881.2,0.0,40.78,50.07,38.62,45.27,54.2,6.46,4
260,1662908400,1054.76,0.0,45.93,47.21,47.21,55.23,66.36,8.49,5
261,1662912000,1268.39,0.02,57.58,30.4,68.66,69.47,82.34,10.51,5
262,1662915600,1508.71,0.94,74.71,9.03,99.18,88.98,103.25,12.16,5
263,1662919200,1575.47,5.81,81.57,0.61,120.16,99.63,112.86,11.02,5
264,1662922800,1375.2,9.83,81.57,0.03,122.07,95.28,104.68,7.03,5
265,1662926400,1161.58,11.4,79.51,0.03,110.63,87.82,94.54,4.56,5
266,1662930000,974.66,9.83,75.4,0.08,92.51,78.99,83.91,2.85,5
267,1662933600,867.84,7.1,69.92,0.18,75.34,71.74,75.52,1.6,5
268,1662937200,834.47,5.76,63.06,0.35,63.9,64.89,68.05,1.16,5
269,1662940800,801.09,4.02,56.21,0.93,55.31,56.3,58.95,0.99,5
270,1662944400,761.03,2.65,49.35,2.01,48.16,50.88,53.75,1.42,5
271,1662948000,854.49,5.2,47.98,0.94,51.02,54.57,59.22,3.96,5
272,1662951600,1028.06,13.86,47.98,0.1,62.94,63.52,70.5,7.03,5
273,1662955200,1214.98,25.48,49.35,0.04,81.06,75.16,84.28,9.88,5
274,1662958800,1268.39,30.4,46.61,0.05,86.78,78.57,88.42,10.77,5
275,1662962400,1041.41,22.8,39.41,0.46,66.76,62.63,71.55,8.49,5
276,1662966000,687.6,8.27,29.82,9.83,38.15,36.45,43.19,4.75,4
277,1662969600,487.33,1.68,19.71,40.77,22.17,20.43,25.35,3.01,3
278,1662973200,420.57,0.64,12.85,70.81,15.5,12.94,16.61,2.37,2
279,1662976800,400.54,0.15,9.85,73.67,11.09,8.87,11.54,1.87,1
280,1662980400,407.22,0.04,9.6,64.37,10.01,8.5,10.98,1.87,1
281,1662984000,380.52,0.01,10.28,52.93,9.66,9.51,12.26,1.92,1
282,1662987600,400.54,0.0,11.65,43.99,10.25,12.37,15.73,2.25,2
283,1662991200,417.23,0.0,11.82,47.92,11.09,15.02,19.4,2.94,2
284,1662994800,393.87,0.0,11.48,54.36,11.44,15.64,20.88,3.51,2
285,1662998400,383.85,0.0,11.48,56.51,12.4,15.11,20.41,3.7,2
286,1663002000,343.8,0.0,9.68,55.79,11.09,12.32,16.92,3.04,2
287,1663005600,290.39,0.0,7.54,50.78,8.82,8.9,12.27,1.95,1
288,1663009200,247.0,0.0,5.44,44.7,6.56,5.76,7.81,0.96,1
289,1663012800,236.99,0.0,4.8,37.91,6.2,4.46,6.34,0.86,1
290,1663016400,230.31,0.01,4.58,32.19,6.08,3.91,6.09,0.87,1
291,1663020000,216.96,0.01,4.2,31.47,5.72,3.79,6.42,0.81,1
292,1663023600,208.62,0.01,3.94,31.83,5.36,3.99,6.78,0.71,1
293,1663027200,205.28,0.01,3.86,31.47,5.25,4.47,7.34,0.64,1
294,1663030800,216.96,0.01,4.8,30.76,6.32,5.17,8.71,0.89,1
295,1663034400,280.38,0.04,8.4,27.18,9.54,7.19,11.8,2.22,1
296,1663038000,363.83,0.45,14.05,22.17,14.07,10.02,15.77,3.86,2
297,1663041600,427.25,1.61,17.99,19.31,19.55,12.75,19.32,5.07,2
298,1663045200,400.54,1.84,16.11,21.46,19.55,11.74,17.87,4.56,2
299,1663048800,350.48,1.66,13.37,25.39,17.17,9.32,14.24,3.58,1
300,1663052400,307.08,0.78,10.54,39.7,12.99,7.57,11.29,2.44,1
301,1663056000,280.38,0.55,8.14,44.35,9.78,6.17,9.42,1.77,1
302,1663059600,263.69,0.52,6.77,41.48,7.99,5.51,8.61,1.41,1
303,1663063200,253.68,0.38,5.57,38.62,6.44,4.86,7.74,1.09,1
304,1663066800,257.02,0.21,5.65,36.48,5.96,4.56,7.29,1.03,1
305,1663070400,253.68,0.09,6.0,36.48,5.72,4.53,7.19,1.01,1
306,1663074000,260.35,0.02,6.51,35.41,5.96,4.94,7.84,1.16,1
307,1663077600,263.69,0.01,6.08,33.26,5.96,5.57,8.91,1.41,1
308,1663081200,260.35,0.01,5.48,31.11,5.78,5.77,9.28,1.55,1
309,1663084800,260.35,0.01,5.57,29.68,6.26,5.82,9.2,1.65,1
310,1663088400,263.69,0.01,5.4,29.68,6.32,5.7,8.97,1.6,1
311,1663092000,257.02,0.01,5.1,31.11,6.02,5.14,8.07,1.28,1
312,1663095600,247.0,0.0,4.16,33.97,4.83,4.06,6.32,0.7,1
313,1663099200,247.0,0.0,3.64,35.76,4.53,3.66,5.67,0.63,1
314,1663102800,243.66,0.0,3.43,35.05,4.35,3.45,5.31,0.62,1
315,1663106400,230.31,0.0,3.3,33.26,4.29,3.49,5.28,0.59,1
316,1663110000,213.62,0.01,3.34,31.11,4.41,3.8,5.54,0.55,1
317,1663113600,201.94,0.01,3.56,30.76,4.65,4.32,6.1,0.53,1
318,1663117200,203.61,0.01,4.16,30.76,5.25,5.14,7.11,0.63,1
319,1663120800,226.97,0.02,5.44,30.4,6.14,6.4,9.13,1.14,1
320,1663124400,243.66,0.08,6.85,28.97,6.74,6.92,10.16,1.41,1
321,1663128000,250.34,0.29,7.2,28.97,7.51,7.04,10.4,1.55,1
322,1663131600,243.66,0.54,6.17,30.4,7.57,6.62,9.85,1.5,1
323,1663135200,233.65,0.76,5.23,31.83,7.27,6.1,9.17,1.3,1
324,1663138800,220.3,0.77,4.16,32.9,6.26,5.49,8.44,1.01,1
325,1663142400,216.96,0.63,3.98,31.83,5.66,5.06,8.05,0.9,1
326,1663146000,216.96,0.54,4.07,30.4,5.48,4.94,8.01,0.86,1
327,1663149600,210.29,0.35,3.98,28.97,4.95,4.64,7.79,0.77,1
328,1663153200,211.95,0.24,4.24,28.25,4.77,4.47,7.7,0.78,1
329,1663156800,216.96,0.14,4.76,27.18,4.65,4.29,7.5,0.81,1
330,1663160400,223.64,0.05,5.27,27.18,4.59,4.19,7.25,0.88,1
331,1663164000,226.97,0.02,4.93,27.89,4.59,4.34,7.44,1.03,1
332,1663167600,226.97,0.01,4.5,28.97,4.53,4.58,7.72,1.08,1
333,1663171200,230.31,0.01,4.58,29.68,5.07,5.13,8.2,1.14,1
334,1663174800,230.31,0.01,4.46,30.76,5.07,5.66,8.76,1.14,1
335,1663178400,220.3,0.01,4.2,32.19,4.77,5.98,8.87,0.93,1
