,Datetime,CO,NO,NO2,O3,SO2,PM2_5,PM10,NH3,AQI
0,1661972400,1161.58,0.04,58.95,21.1,64.85,82.96,112.34,11.53,5
1,1661976000,1041.41,0.01,54.15,25.03,61.04,78.39,103.79,9.63,5
2,1661979600,988.01,0.01,50.72,27.18,58.17,75.54,97.87,8.99,5
3,1661983200,1054.76,0.01,48.67,24.68,52.93,75.56,96.49,10.89,5
4,1661986800,1241.68,0.05,50.04,18.24,51.5,80.91,103.0,14.57,5
5,1661990400,1361.85,0.26,53.47,11.98,54.84,85.06,107.87,17.48,5
6,1661994000,1588.82,3.86,63.75,2.62,66.76,100.95,126.19,20.52,5
7,1661997600,2269.74,24.81,69.92,0.02,86.78,145.06,178.69,28.88,5
8,1662001200,2723.69,48.73,73.34,0.13,107.77,178.11,213.52,30.91,5
9,1662004800,1976.01,48.73,74.71,1.7,139.24,144.71,165.58,17.99,5
10,1662008400,2002.72,59.01,76.09,1.52,158.31,150.98,172.09,18.24,5
11,1662012000,2109.53,69.74,80.2,2.95,179.29,166.4,190.13,19.25,5
12,1662015600,1895.9,55.88,81.57,9.03,154.5,153.96,181.65,17.48,5
13,1662019200,1548.77,32.63,74.71,16.81,109.67,119.97,151.26,15.58,5
14,1662022800,1228.33,17.88,59.63,31.47,72.48,85.83,119.46,13.93,5
15,1662026400,854.49,9.05,40.78,37.19,43.87,51.13,83.84,11.02,5
16,1662030000,714.3,7.38,34.96,22.35,36.24,35.16,63.74,9.5,4
17,1662033600,700.95,8.16,37.01,8.14,39.58,30.24,54.06,8.99,4
18,1662037200,734.33,7.71,40.78,1.97,45.78,29.57,46.52,8.11,4
19,1662040800,974.66,11.73,46.61,0.16,58.17,41.46,57.97,10.89,4
20,1662044400,1281.74,20.12,50.04,0.01,80.11,60.91,80.07,13.93,5
21,1662048000,1615.52,32.63,61.69,0.0,120.16,89.49,109.45,14.19,5
22,1662051600,1789.09,42.02,76.77,0.0,148.77,117.58,135.83,11.65,5
23,1662055200,1762.39,46.04,87.74,0.0,154.5,134.05,149.62,8.11,5
24,1662058800,1708.98,47.83,94.59,0.0,146.87,146.25,159.29,4.75,5
25,1662062400,1708.98,49.62,95.96,0.0,139.24,157.53,169.33,3.1,5
26,1662066000,1708.98,50.07,94.59,0.0,133.51,166.22,177.98,2.44,5
27,1662069600,1655.58,47.39,87.74,0.0,125.89,163.62,176.78,2.34,5
28,1662073200,1588.82,45.15,82.94,0.0,123.98,159.14,173.4,2.6,5
29,1662076800,1548.77,46.49,82.25,0.0,129.7,160.72,175.45,2.63,5
30,1662080400,1655.58,56.33,86.37,0.0,144.96,182.22,198.96,3.01,5
31,1662084000,2109.53,78.68,97.33,0.16,175.48,233.13,255.46,7.22,5
32,1662087600,2777.1,110.86,112.41,2.08,215.53,310.66,339.95,12.41,5
33,1662091200,3364.56,134.11,135.72,8.85,259.4,391.29,425.21,12.79,5
34,1662094800,3685.0,118.02,178.22,22.53,289.92,457.29,494.45,11.27,5
